Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Acer,QLED,"₹11,999",30,Google TV,32,2024,1
realme,QLED,"₹9,499",40,Google TV,32,2025,12
TOSHIBA,LED,"₹11,499",20,VIDAA TV,32,2025,1
iFFALCON,LED,"₹37,999",24,Google TV,65,2025,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
PHILIPS,QLED,"₹43,999",30,Google TV,65,2025,1
XIAOMI,LED,"₹24,999",30,Google TV,43,2025,Enjoy
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
realme,QLED,"₹27,999",40,Google TV,55,2024,12
Samsung,LED,"₹32,999",20,Tizen TV,55,2024,2
Blaupunkt,QLED,"₹17,499",40,OS TV,43,2025,1
InnoQ,LED,"₹5,990",30,Android TV,24,2024,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Samsung,LED,"₹25,490",20,Tizen TV,43,2025,2
TCL,Mini LED,"₹67,990",40,Google TV,65,2025,2
KODAK,QLED,"₹31,999",70,Google TV,55,2025,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Haier,QLED,"₹43,490",30,Google TV,55,2025,1
Acer,LED,"₹15,999",30,Google TV,43,2025,1
Acer,QLED,"₹29,999",24,Google TV,55,2025,1
Acer,QLED,"₹24,999",36,Google TV,50,2025,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
TCL,QLED,"₹73,990",35,Google TV,75,2025,2
PHILIPS,QLED,"₹32,999",30,Google TV,55,2025,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
LG,LED,"₹27,990",20,WebOS TV,43,2023,1
Uniboom,LED,"₹7,590",30,Android TV,32,2025,1
TCL,QLED,"₹1,29,990",40,Google TV,85,2025,2
TCL,QLED,"₹49,999",24,Google TV,65,2025,2
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
